,country,year,pop,avh,rgdpe,gdp per capita,vacation days,productivity,gdp per vac days
650,Ireland,1970,2.908421,2333.735141,29828.33203,10255.850865469614,20.0,4.394607890711628,1491.4166015
651,Ireland,1971,2.944088,2316.73113,31165.79883,10585.89241557997,20.0,4.569322818043184,1558.2899415
652,Ireland,1972,2.986566,2296.587917,34152.22266,11435.281410154674,20.0,4.979248268924283,1707.6111329999999
653,Ireland,1973,3.034319,2284.031108,36753.85156,12112.718392495977,20.0,5.303219535876819,1837.6925780000001
654,Ireland,1974,3.085156,2247.668684,34886.95313,11308.002943773346,20.0,5.030991900305065,1744.3476565
655,Ireland,1975,3.137176,2237.727878,36229.12109,11548.322787755611,20.0,5.160735986395755,1811.4560545
656,Ireland,1976,3.189865,2232.234274,38296.36719,12005.638856189837,20.0,5.3783059403870785,1914.8183594999998
657,Ireland,1977,3.242768,2202.673455,41804.50781,12891.612292337906,20.0,5.852711514307465,2090.2253905000002
658,Ireland,1978,3.294161,2183.053442,46228.29688,14033.405434646334,20.0,6.428338017135146,2311.414844
659,Ireland,1979,3.342005,2161.340627,47991.85938,14360.199754339088,20.0,6.644116885116548,2399.5929690000003
660,Ireland,1980,3.384756,2122.100601,48691.71094,14385.589667320184,28.0,6.778938595343333,1738.9896764285713
661,Ireland,1981,3.422018,2090.708581,49208.90625,14380.083988453596,28.0,6.8780910544574825,1757.4609375
662,Ireland,1982,3.453786,2083.383776,50535.80859,14632.003427542992,28.0,7.0231915963345735,1804.8503067857143
663,Ireland,1983,3.479458,2073.181369,50555.9375,14529.831226587588,28.0,7.008470866972946,1805.5691964285713
664,Ireland,1984,3.49853,2055.130957,51632.36328,14758.302281243836,28.0,7.181197982043651,1844.012974285714
665,Ireland,1985,3.510979,2062.194162,52432.75781,14933.942302132826,28.0,7.241773144992943,1872.5984932142858
666,Ireland,1986,3.516422,2096.725385,53904.81641,15329.450336165568,28.0,7.3111388099904016,1925.1720146428572
667,Ireland,1987,3.515828,2076.058971,56140.30469,15967.875757858461,28.0,7.6914365058556236,2005.0108817857142
668,Ireland,1988,3.512185,2084.430177,59272.97266,16876.38113026506,28.0,8.09640030953412,2116.891880714286
669,Ireland,1989,3.509519,2091.754981,64281.60156,18316.35661753078,28.0,8.756454165953187,2295.7714842857145
670,Ireland,1990,3.510885,2080.244574,68907.85156,19626.91787398334,28.0,9.43490881759336,2460.994698571428
671,Ireland,1991,3.51771,2045.190151,69983.9375,19894.74331312132,28.0,9.72757633484287,2499.426339285714
672,Ireland,1992,3.529853,1996.794119,72318.14844,20487.580768944204,28.0,10.260236933792875,2582.791015714286
673,Ireland,1993,3.546931,1970.110901,76302.02344,21512.125113231694,28.0,10.919245765460436,2725.072265714286
674,Ireland,1994,3.567912,1970.372501,81572.1875,22862.72405261116,28.0,11.603249660157108,2913.292410714286
675,Ireland,1995,3.592186,1962.001296,92129.5,25647.196442500473,28.0,13.071956932336539,3290.339285714286
676,Ireland,1996,3.619641,1953.599192,99822.86719,27578.112633269433,28.0,14.116566359262414,3565.102399642857
677,Ireland,1997,3.651096,1954.194139,112477.7734,30806.577915234222,28.0,15.76433850681722,4017.063335714286
678,Ireland,1998,3.687819,1953.194044,127163.4063,34482.0085530228,28.0,17.65416429511844,4541.550225
679,Ireland,1999,3.731468,1941.882875,137736.2656,36912.08543125655,28.0,19.00839947994111,4919.152342857144
680,Ireland,2000,3.783103,1932.723788,150186.8125,39699.371785542186,30.0,20.54063391366619,5006.227083333333
681,Ireland,2001,3.842245,1923.529378,158361.75,41215.94276262966,30.0,21.427248907154286,5278.725
682,Ireland,2002,3.907998,1904.276271,167525.0156,42867.221426418335,30.0,22.51103061002136,5584.1671866666675
683,Ireland,2003,3.980076,1886.786435,172128.2188,43247.470349812414,30.0,22.92123239152523,5737.6072933333335
684,Ireland,2004,4.05813,1875.255957,181199.2813,44650.93067496605,30.0,23.810579301610534,6039.976043333333
685,Ireland,2005,4.141223,1883.193701,195509.5938,47210.59305427406,30.0,25.069430207420847,6516.98646
686,Ireland,2006,4.230623,1878.812957,216764.7656,51237.07917250013,30.0,27.270984576513186,7225.492186666667
687,Ireland,2007,4.324641,1864.932283,236843.1094,54765.958469153855,30.0,29.36619145283671,7894.7703133333325
688,Ireland,2008,4.415872,1843.896208,222934.8594,50484.90069458535,30.0,27.379469883147213,7431.16198
689,Ireland,2009,4.494576,1811.802986,208812.2344,46458.716995774455,30.0,25.642256555909253,6960.407813333333
690,Ireland,2010,4.554321,1720.973817,216919.9531,47629.48266053272,30.0,27.675890353497874,7230.665103333334
691,Ireland,2011,4.591105,1736.531498,223861.8906,48759.915227379905,30.0,28.07891206323509,7462.0630200000005
692,Ireland,2012,4.608198,1737.861253,234566.3438,50901.9672765797,30.0,29.2900064310138,7818.8781266666665
693,Ireland,2013,4.615422,1743.472635,233695.5469,50633.62502930393,30.0,29.041823779071773,7789.851563333333
694,Ireland,2014,4.626844,1757.030592,251472.1875,54350.69509583638,30.0,30.933266240953635,8382.40625
695,Ireland,2015,4.652425,1770.584308,351605.625,75574.70029070861,30.0,42.68348022132624,11720.1875
696,Ireland,2016,4.695779,1762.923211,381200.375,81179.36874797558,30.0,46.04815923997473,12706.679166666667
697,Ireland,2017,4.753279,1774.749783,409848.0625,86224.28064921079,30.0,48.583908264216866,13661.602083333333
698,Ireland,2018,4.81869,1785.402163,435129.8125,90300.43694448075,30.0,50.577084992856456,14504.327083333334
699,Ireland,2019,4.882495,1771.977942,499741.0938,102353.63145277159,30.0,57.762362062615104,16658.03646
700,Italy,1950,46.98023487,2099.530484,221477.2969,4714.265424871854,24.0,2.2453903197872567,9228.220704166666
701,Italy,1951,47.29240557,2105.95949,238753.4063,5048.451298308529,24.0,2.3972214671178356,9948.058595833334
702,Italy,1952,47.5397498,2112.408182,246044.7813,5175.559028709907,24.0,2.4500752614060395,10251.8658875
703,Italy,1953,47.82997941,2118.876621,265633.25,5553.6977702412105,24.0,2.6210576468676847,11068.052083333334
